Name,Type,Quality
Anklet,Celestial Anklet of Courage S,S
Anklet,Celestial Anklet of Agility S,S
Anklet,Celestial Anklet of Magic S,S
Anklet,Celestial Anklet of Wisdom S,S
Anklet,Celestial Anklet of Courage A,A
Anklet,Celestial Anklet of Agility A,A
Anklet,Celestial Anklet of Magic A,A
Anklet,Celestial Anklet of Wisdom A,A
Anklet,Celestial Anklet of Courage B,B
Anklet,Celestial Anklet of Agility B,B
Anklet,Celestial Anklet of Magic B,B
Anklet,Celestial Anklet of Wisdom B,B
Anklet,Celestial Anklet of Courage C,C
Anklet,Celestial Anklet of Agility C,C
Anklet,Celestial Anklet of Magic C,C
Anklet,Celestial Anklet of Wisdom C,C
Anklet,Celestial Anklet of Courage D,D
Anklet,Celestial Anklet of Agility D,D
Anklet,Celestial Anklet of Magic D,D
Anklet,Celestial Anklet of Wisdom D,D
Anklet,Celestial Anklet of Courage S.S,S
Anklet,Celestial Anklet of Agility S.S,S
Anklet,Celestial Anklet of Magic S.S,S
Anklet,Celestial Anklet of Wisdom S.S,S
Anklet,Celestial Anklet of Courage S.A,A
Anklet,Celestial Anklet of Agility S.A,A
Anklet,Celestial Anklet of Magic S.A,A
Anklet,Celestial Anklet of Wisdom S.A,A
Anklet,Celestial Anklet of Courage S.B,B
Anklet,Celestial Anklet of Agility S.B,B
Anklet,Celestial Anklet of Magic S.B,B
Anklet,Celestial Anklet of Wisdom S.B,B
Anklet,Celestial Anklet of Courage S.C,C
Anklet,Celestial Anklet of Agility S.C,C
Anklet,Celestial Anklet of Magic S.C,C
Anklet,Celestial Anklet of Wisdom S.C,C
Anklet,Celestial Anklet of Courage S.D,D
Anklet,Celestial Anklet of Agility S.D,D
Anklet,Celestial Anklet of Magic S.D,D
Anklet,Celestial Anklet of Wisdom S.D,D
Anklet,Celestial Anklet of Courage A.S,A
Anklet,Celestial Anklet of Agility A.S,A
Anklet,Celestial Anklet of Magic A.S,A
Anklet,Celestial Anklet of Wisdom A.S,A
Anklet,Celestial Anklet of Courage A.A,A
Anklet,Celestial Anklet of Agility A.A,A
Anklet,Celestial Anklet of Magic A.A,A
Anklet,Celestial Anklet of Wisdom A.A,A
Anklet,Celestial Anklet of Courage A.B,B
Anklet,Celestial Anklet of Agility A.B,B
Anklet,Celestial Anklet of Magic A.B,B
Anklet,Celestial Anklet of Wisdom A.B,B
Anklet,Celestial Anklet of Courage A.C,C
Anklet,Celestial Anklet of Agility A.C,C
Anklet,Celestial Anklet of Magic A.C,C
Anklet,Celestial Anklet of Wisdom A.C,C
Anklet,Celestial Anklet of Courage A.D,D
Anklet,Celestial Anklet of Agility A.D,D
Anklet,Celestial Anklet of Magic A.D,D
Anklet,Celestial Anklet of Wisdom A.D,D
Anklet,Celestial Anklet of Courage B.S,B
Anklet,Celestial Anklet of Agility B.S,B
Anklet,Celestial Anklet of Magic B.S,B
Anklet,Celestial Anklet of Wisdom B.S,B
Anklet,Celestial Anklet of Courage B.A,A
Anklet,Celestial Anklet of Agility B.A,A
Anklet,Celestial Anklet of Magic B.A,A
Anklet,Celestial Anklet of Wisdom B.A,A
Anklet,Celestial Anklet of Courage B.B,B
Anklet,Celestial Anklet of Agility B.B,B
Anklet,Celestial Anklet of Magic B.B,B
Anklet,Celestial Anklet of Wisdom B.B,B
Anklet,Celestial Anklet of Courage B.C,C
Anklet,Celestial Anklet of Agility B.C,C
Anklet,Celestial Anklet of Magic B.C,C
Anklet,Celestial Anklet of Wisdom B.C,C
Anklet,Celestial Anklet of Courage B.D,D
Anklet,Celestial Anklet of Agility B.D,D
Anklet,Celestial Anklet of Magic B.D,D
Anklet,Celestial Anklet of Wisdom B.D,D
Anklet,Celestial Anklet of Courage C.S,C
Anklet,Celestial Anklet of Agility C.S,C
Anklet,Celestial Anklet of Magic C.S,C
Anklet,Celestial Anklet of Wisdom C.S,C
Anklet,Celestial Anklet of Courage C.A,A
Anklet,Celestial Anklet of Agility C.A,A
Anklet,Celestial Anklet of Magic C.A,A
Anklet,Celestial Anklet of Wisdom C.A,A
Anklet,Celestial Anklet of Courage C.B,B
Anklet,Celestial Anklet of Agility C.B,B
Anklet,Celestial Anklet of Magic C.B,B
Anklet,Celestial Anklet of Wisdom C.B,B
Anklet,Celestial Anklet of Courage C.C,C
Anklet,Celestial Anklet of Agility C.C,C
Anklet,Celestial Anklet of Magic C.C,C
Anklet,Celestial Anklet of Wisdom C.C,C
Anklet,Celestial Anklet of Courage C.D,D
Anklet,Celestial Anklet of Agility C.D,D
Anklet,Celestial Anklet of Magic C.D,D
Anklet,Celestial Anklet of Wisdom C.D,D
Anklet,Celestial Anklet of Courage D.S,D
Anklet,Celestial Anklet of Agility D.S,D
Anklet,Celestial Anklet of Magic D.S,D
Anklet,Celestial Anklet of Wisdom D.S,D
Anklet,Celestial Anklet of Courage D.A,A
Anklet,Celestial Anklet of Agility D.A,A
Anklet,Celestial Anklet of Magic D.A,A
Anklet,Celestial Anklet of Wisdom D.A,A
Anklet,Celestial Anklet of Courage D.B,B
Anklet,Celestial Anklet of Agility D.B,B
Anklet,Celestial Anklet of Magic D.B,B
Anklet,Celestial Anklet of Wisdom D.B,B
Anklet,Celestial Anklet of Courage D.C,C
Anklet,Celestial Anklet of Agility D.C,C
Anklet,Celestial Anklet of Magic D.C,C
Anklet,Celestial Anklet of Wisdom D.C,C
Anklet,Celestial Anklet of Courage D.D,D
Anklet,Celestial Anklet of Agility D.D,D
Anklet,Celestial Anklet of Magic D.D,D
Anklet,Celestial Anklet of Wisdom D.D,D
Anklet,Celestial Anklet of Courage S.S.S,S
Anklet,Celestial Anklet of Agility S.S.S,S
Anklet,Celestial Anklet of Magic S.S.S,S
Anklet,Celestial Anklet of Wisdom S.S.S,S
Anklet,Celestial Anklet of Courage S.S.A,A
Anklet,Celestial Anklet of Agility S.S.A,A
Anklet,Celestial Anklet of Magic S.S.A,A
Anklet,Celestial Anklet of Wisdom S.S.A,A
Anklet,Celestial Anklet of Courage S.S.B,B
Anklet,Celestial Anklet of Agility S.S.B,B
Anklet,Celestial Anklet of Magic S.S.B,B
Anklet,Celestial Anklet of Wisdom S.S.B,B
Anklet,Celestial Anklet of Courage S.S.C,C
Anklet,Celestial Anklet of Agility S.S.C,C
Anklet,Celestial Anklet of Magic S.S.C,C
Anklet,Celestial Anklet of Wisdom S.S.C,C
Anklet,Celestial Anklet of Courage S.S.D,D
Anklet,Celestial Anklet of Agility S.S.D,D
Anklet,Celestial Anklet of Magic S.S.D,D
Anklet,Celestial Anklet of Wisdom S.S.D,D
Anklet,Celestial Anklet of Courage S.A.S,A
Anklet,Celestial Anklet of Agility S.A.S,A
Anklet,Celestial Anklet of Magic S.A.S,A
Anklet,Celestial Anklet of Wisdom S.A.S,A
Anklet,Celestial Anklet of Courage S.A.A,A
Anklet,Celestial Anklet of Agility S.A.A,A
Anklet,Celestial Anklet of Magic S.A.A,A
Anklet,Celestial Anklet of Wisdom S.A.A,A
Anklet,Celestial Anklet of Courage S.A.B,B
Anklet,Celestial Anklet of Agility S.A.B,B
Anklet,Celestial Anklet of Magic S.A.B,B
Anklet,Celestial Anklet of Wisdom S.A.B,B
Anklet,Celestial Anklet of Courage S.A.C,C
Anklet,Celestial Anklet of Agility S.A.C,C
Anklet,Celestial Anklet of Magic S.A.C,C
Anklet,Celestial Anklet of Wisdom S.A.C,C
Anklet,Celestial Anklet of Courage S.A.D,D
Anklet,Celestial Anklet of Agility S.A.D,D
Anklet,Celestial Anklet of Magic S.A.D,D
Anklet,Celestial Anklet of Wisdom S.A.D,D
Anklet,Celestial Anklet of Courage S.B.S,B
Anklet,Celestial Anklet of Agility S.B.S,B
Anklet,Celestial Anklet of Magic S.B.S,B
Anklet,Celestial Anklet of Wisdom S.B.S,B
Anklet,Celestial Anklet of Courage S.B.A,A
Anklet,Celestial Anklet of Agility S.B.A,A
Anklet,Celestial Anklet of Magic S.B.A,A
Anklet,Celestial Anklet of Wisdom S.B.A,A
Anklet,Celestial Anklet of Courage S.B.B,B
Anklet,Celestial Anklet of Agility S.B.B,B
Anklet,Celestial Anklet of Magic S.B.B,B
Anklet,Celestial Anklet of Wisdom S.B.B,B
Anklet,Celestial Anklet of Courage S.B.C,C
Anklet,Celestial Anklet of Agility S.B.C,C
Anklet,Celestial Anklet of Magic S.B.C,C
Anklet,Celestial Anklet of Wisdom S.B.C,C
